0,Albertville
1,Amsterdam
2,Antwerpen
3,Athina
4,Atlanta
5,Barcelona
6,Beijing
7,Berlin
8,Calgary
9,Chamonix
10,Cortina d'Ampezzo
11,Garmisch-Partenkirchen
12,Grenoble
13,Helsinki
14,Innsbruck
15,Lake Placid
16,Lillehammer
17,London
18,Los Angeles
19,Melbourne
20,Mexico City
21,Montreal
22,Moskva
23,Munich
24,Nagano
25,Oslo
26,Paris
27,Rio de Janeiro
28,Roma
29,Salt Lake City
30,Sankt Moritz
31,Sapporo
32,Sarajevo
33,Seoul
34,Sochi
35,Squaw Valley
36,St. Louis
37,Stockholm
38,Sydney
39,Tokyo
40,Torino
41,Vancouver
