0,Aeronautics Mixed Aeronautics,Aeronautics
1,Alpine Skiing Men's Combined,Alpine Skiing
2,Alpine Skiing Men's Downhill,Alpine Skiing
3,Alpine Skiing Men's Giant Slalom,Alpine Skiing
4,Alpine Skiing Men's Slalom,Alpine Skiing
5,Alpine Skiing Men's Super G,Alpine Skiing
6,Alpine Skiing Women's Combined,Alpine Skiing
7,Alpine Skiing Women's Downhill,Alpine Skiing
8,Alpine Skiing Women's Giant Slalom,Alpine Skiing
9,Alpine Skiing Women's Slalom,Alpine Skiing
10,Alpine Skiing Women's Super G,Alpine Skiing
11,Alpinism Mixed Alpinism,Alpinism
12,"Archery Men's Au Chapelet, 33 metres",Archery
13,"Archery Men's Au Chapelet, 50 metres",Archery
14,"Archery Men's Au Cordon Dore, 33 metres",Archery
15,"Archery Men's Au Cordon Dore, 50 metres",Archery
16,Archery Men's Championnat Du Monde,Archery
17,Archery Men's Continental Style,Archery
18,Archery Men's Double American Round,Archery
19,Archery Men's Double York Round,Archery
20,Archery Men's Individual,Archery
21,"Archery Men's Pole Archery, Large Birds, Individual",Archery
22,"Archery Men's Pole Archery, Large Birds, Team",Archery
23,"Archery Men's Pole Archery, Small Birds, Individual",Archery
24,"Archery Men's Pole Archery, Small Birds, Team",Archery
25,Archery Men's Sur La Perche a La Herse,Archery
26,Archery Men's Sur La Perche a La Pyramide,Archery
27,"Archery Men's Target Archery, 28 metres, Individual",Archery
28,"Archery Men's Target Archery, 28 metres, Team",Archery
29,"Archery Men's Target Archery, 33 metres, Individual",Archery
30,"Archery Men's Target Archery, 33 metres, Team",Archery
31,"Archery Men's Target Archery, 50 metres, Individual",Archery
32,"Archery Men's Target Archery, 50 metres, Team",Archery
33,Archery Men's Team,Archery
34,Archery Men's Team Round,Archery
35,Archery Men's Unknown Event,Archery
36,Archery Women's Double Columbia Round,Archery
37,Archery Women's Double National Round,Archery
38,Archery Women's Individual,Archery
39,Archery Women's Team,Archery
40,Archery Women's Team Round,Archery
41,Art Competitions Mixed Architecture,Art Competitions
42,"Art Competitions Mixed Architecture, Architectural Designs",Art Competitions
43,"Art Competitions Mixed Architecture, Designs For Town Planning",Art Competitions
44,"Art Competitions Mixed Architecture, Unknown Event",Art Competitions
45,Art Competitions Mixed Literature,Art Competitions
46,"Art Competitions Mixed Literature, Dramatic Works",Art Competitions
47,"Art Competitions Mixed Literature, Epic Works",Art Competitions
48,"Art Competitions Mixed Literature, Lyric Works",Art Competitions
49,"Art Competitions Mixed Literature, Unknown Event",Art Competitions
50,Art Competitions Mixed Music,Art Competitions
51,"Art Competitions Mixed Music, Compositions For Orchestra",Art Competitions
52,"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Art Competitions
53,"Art Competitions Mixed Music, Instrumental And Chamber",Art Competitions
54,"Art Competitions Mixed Music, Unknown Event",Art Competitions
55,"Art Competitions Mixed Music, Vocals",Art Competitions
56,Art Competitions Mixed Painting,Art Competitions
57,"Art Competitions Mixed Painting, Applied Arts",Art Competitions
58,"Art Competitions Mixed Painting, Drawings And Water Colors",Art Competitions
59,"Art Competitions Mixed Painting, Graphic Arts",Art Competitions
60,"Art Competitions Mixed Painting, Paintings",Art Competitions
61,"Art Competitions Mixed Painting, Unknown Event",Art Competitions
62,Art Competitions Mixed Sculpturing,Art Competitions
63,"Art Competitions Mixed Sculpturing, Medals",Art Competitions
64,"Art Competitions Mixed Sculpturing, Medals And Plaques",Art Competitions
65,"Art Competitions Mixed Sculpturing, Medals And Reliefs",Art Competitions
66,"Art Competitions Mixed Sculpturing, Reliefs",Art Competitions
67,"Art Competitions Mixed Sculpturing, Statues",Art Competitions
68,"Art Competitions Mixed Sculpturing, Unknown Event",Art Competitions
69,Art Competitions Mixed Unknown Event,Art Competitions
70,"Athletics Men's 1,500 metres",Athletics
71,"Athletics Men's 1,500 metres Walk",Athletics
72,"Athletics Men's 1,600 metres Medley Relay",Athletics
73,Athletics Men's 10 kilometres Walk,Athletics
74,Athletics Men's 10 mile Walk,Athletics
75,"Athletics Men's 10,000 metres",Athletics
76,Athletics Men's 100 metres,Athletics
77,Athletics Men's 110 metres Hurdles,Athletics
