0,A Dijiang,M,180,80
1,A Lamusi,M,170,60
2,Gunnar Nielsen Aaby,M,NA,NA
3,Edgar Lindenau Aabye,M,NA,NA
4,Christine Jacoba Aaftink,F,185,82
5,Per Knut Aaland,M,188,75
6,John Aalberg,M,183,72
7,"Cornelia ""Cor"" Aalten (-Strannood)",F,168,NA
8,Antti Sami Aalto,M,186,96
9,"Einar Ferdinand ""Einari"" Aalto",M,NA,NA
10,Jorma Ilmari Aalto,M,182,76.5
11,Jyri Tapani Aalto,M,172,70
12,Minna Maarit Aalto,F,159,55.5
13,Pirjo Hannele Aalto (Mattila-),F,171,65
14,Arvo Ossian Aaltonen,M,NA,NA
15,Juhamatti Tapio Aaltonen,M,184,85
16,Paavo Johannes Aaltonen,M,175,64
17,Timo Antero Aaltonen,M,189,130
18,Win Valdemar Aaltonen,M,NA,NA
19,Kjetil Andr Aamodt,M,176,85
20,Ragnhild Margrethe Aamodt,F,163,NA
21,Andreea Aanei,F,170,125
22,Fritz Aanes,M,187,89
23,Nils Egil Aaness,M,NA,NA
24,Alf Lied Aanning,M,NA,NA
25,Agnes Erika Aanonsen (-Eyde),F,169,65
26,Johan Aantjes,M,NA,NA
27,Jan-Erik Aarberg,M,170,77
28,Willemien Aardenburg,F,NA,NA
29,Pepijn Aardewijn,M,189,72
30,Evald rma (rman-),M,174,70
31,Olav Augunson Aarnes,M,NA,NA
32,Mika Lauri Aarnikka,M,187,76
33,Jamale (Djamel-) Aarrass (Ahrass-),M,187,76
34,Dagfinn Sverre Aarskog,M,190,98
35,Stefan Remco Aartsen,M,194,78
36,Ann Kristin Aarnes,F,182,64
37,Karl Jan Aas,M,NA,NA
38,Lars Thorlaksn Aas,M,NA,NA
39,Roald Edgar Aas,M,NA,NA
40,Rolf Aas,M,NA,NA
41,Thomas Valentin Aas,M,NA,NA
42,Morten Gjerdrum Aasen,M,185,75
43,Meelis Aasme,M,182,73
44,Hakon Aasns,M,NA,NA
45,Hans Aasns,M,194,93
46,Erling Rudolf Aastad,M,177,74
47,Abdelhak Aatakni,M,NA,64
48,Moonika Aava,F,168,65
49,Arvi Aavik,M,185,106
50,Nstor Abad Sanjun,M,167,64
51,Patrick Abada,M,189,80
52,Talaat Abada,M,172,58
53,Mohamed Jamshid Abadi,M,NA,NA
54,Antonio Abadia Beci,M,170,65
55,Ren Abadie,M,NA,NA
56,Borislav Abadzhiev,M,176,66
57,Georgi Abadzhiev,M,NA,NA
58,Ivan Nikolov Abadzhiev,M,164,71
59,Mikhail Abadzhiev,M,172,75
60,Stefan Abadzhiev,M,175,72
61,Giovanni Abagnale,M,198,90
62,Jos Luis Abajo Gmez,M,194,87
63,M'Bairo Abakar,M,NA,NA
64,Patimat Abakarova,F,165,49
65,Mohamed Abakkar,M,156,48
